timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
469,-0.129515,-0.015926,0.871061,-2.642668,-1.044250,0.442150
474,-0.129027,-0.017147,0.877894,-2.703742,-1.105323,0.457418
480,-0.134152,-0.013730,0.869596,-2.871693,-1.028982,0.274199
485,-0.131956,-0.010069,0.873745,-2.734278,-1.059519,0.365808
491,-0.134152,-0.008849,0.873257,-2.856425,-1.151128,0.350540
496,-0.129759,-0.017391,0.872525,-2.673205,-0.998445,0.457418
502,-0.130003,-0.021296,0.871549,-2.871693,-0.983177,0.518491
507,-0.124878,-0.011533,0.870329,-2.856425,-1.166397,0.350540
513,-0.130491,-0.010313,0.866180,-2.688474,-1.044250,0.381077
518,-0.132688,-0.010069,0.874966,-2.703742,-1.074787,0.381077
524,-0.131468,-0.010801,0.870329,-2.764815,-0.967909,0.457418
529,-0.128051,-0.022760,0.870329,-2.657937,-1.105323,0.442150
535,-0.130491,-0.008361,0.872769,-2.581595,-1.120592,0.350540
540,-0.133176,-0.006652,0.869840,-2.734278,-1.059519,0.274199
545,-0.132444,-0.017391,0.871305,-2.795351,-0.983177,0.289467
551,-0.128783,-0.013730,0.875942,-2.841157,-1.166397,0.396345
556,-0.130491,-0.015926,0.873501,-2.703742,-1.013714,0.457418
562,-0.128539,-0.021052,0.873501,-2.703742,-1.105323,0.396345
567,-0.129759,-0.017879,0.875210,-2.642668,-1.212201,0.289467
573,-0.129515,-0.016903,0.876918,-2.688474,-1.090055,0.426881
578,-0.130003,-0.011777,0.877894,-2.780083,-1.105323,0.320003
584,-0.130979,-0.014706,0.871793,-2.673205,-1.028982,0.197857
589,-0.137081,-0.019587,0.860322,-2.764815,-1.166397,0.503223
595,-0.126586,-0.017879,0.873989,-2.795351,-1.059519,0.304735
600,-0.132688,-0.007384,0.871793,-2.673205,-1.288543,0.396345
606,-0.129515,-0.012021,0.875698,-2.795351,-1.242738,0.274199
611,-0.129271,-0.015682,0.880579,-2.627400,-1.074787,0.258930
616,-0.129759,-0.015438,0.869108,-2.688474,-0.937372,0.350540
622,-0.130735,-0.011045,0.869352,-2.734278,-1.135860,0.274199
627,-0.130003,-0.022760,0.873501,-2.703742,-1.319080,0.320003
633,-0.134152,-0.014950,0.869596,-2.749546,-1.059519,0.289467
638,-0.130979,-0.010313,0.868376,-2.734278,-1.242738,0.320003
644,-0.134640,-0.014462,0.873501,-2.841157,-1.196933,0.152052
649,-0.129271,-0.012265,0.868376,-2.780083,-1.105323,0.610101
655,-0.131712,-0.014218,0.875210,-2.780083,-0.983177,0.304735
660,-0.131223,-0.010557,0.864959,-2.734278,-1.196933,0.365808
666,-0.129027,-0.012998,0.871061,-2.612132,-1.028982,0.381077
671,-0.128783,-0.014706,0.873989,-2.825888,-0.983177,0.304735
677,-0.134396,-0.015682,0.869596,-2.780083,-1.074787,0.472686
682,-0.124390,-0.012998,0.870573,-2.886961,-0.952640,0.335272
688,-0.130979,-0.019587,0.874233,-2.902230,-1.090055,0.228394
693,-0.127807,-0.012998,0.868376,-2.734278,-1.013714,0.426881
698,-0.128783,-0.012998,0.866180,-2.642668,-0.876299,0.457418
704,-0.132444,-0.014706,0.873501,-2.749546,-1.120592,0.335272
709,-0.132688,-0.015438,0.875698,-2.795351,-1.212201,0.411613
715,-0.130979,-0.013730,0.871549,-2.642668,-1.105323,0.197857
720,-0.133420,-0.008605,0.867156,-2.810620,-1.303811,0.365808
726,-0.128051,-0.010313,0.870817,-2.703742,-1.227470,0.320003
731,-0.132688,-0.012021,0.876918,-2.856425,-1.105323,0.289467
737,-0.135128,-0.009093,0.870573,-2.657937,-1.044250,0.426881
742,-0.131712,-0.014218,0.878138,-2.764815,-0.998445,0.075711
748,-0.128295,-0.016414,0.873501,-2.734278,-1.120592,0.365808
753,-0.131712,-0.018367,0.863495,-2.703742,-1.181665,0.350540
759,-0.124878,-0.010313,0.877650,-2.719010,-0.815226,0.320003
764,-0.133176,-0.010313,0.876186,-2.719010,-1.334348,0.640638
770,-0.135372,-0.010069,0.866912,-2.719010,-1.135860,0.350540
775,-0.134152,-0.013730,0.866424,-2.703742,-1.196933,0.533760
780,-0.130003,-0.010069,0.874722,-2.688474,-1.242738,0.549028
786,-0.129027,-0.011777,0.874478,-2.703742,-0.952640,0.320003
791,-0.128539,-0.011533,0.874478,-2.780083,-1.181665,0.549028
797,-0.133664,-0.014706,0.875942,-2.703742,-1.120592,0.426881
802,-0.132932,-0.013242,0.871305,-2.825888,-1.028982,0.335272
808,-0.132444,-0.009825,0.873257,-2.719010,-1.258006,0.381077
813,-0.132932,-0.012998,0.875454,-2.764815,-1.059519,0.381077
819,-0.128295,-0.012998,0.865692,-2.734278,-1.303811,0.426881
824,-0.134152,-0.015438,0.873989,-2.886961,-1.349616,0.243662
830,-0.130491,-0.014218,0.873989,-2.749546,-1.303811,0.442150
835,-0.130735,-0.016903,0.871549,-2.657937,-0.967909,0.365808
841,-0.131712,-0.014218,0.881067,-2.886961,-1.028982,0.258930
846,-0.125610,-0.013486,0.872281,-2.795351,-0.906835,0.549028
852,-0.131468,-0.015438,0.880091,-2.520522,-1.120592,0.503223
857,-0.134884,-0.017635,0.868864,-2.612132,-1.074787,0.365808
862,-0.128783,-0.014462,0.870573,-2.764815,-1.303811,0.320003
