timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
4,-0.157826,-0.007872,0.945742,-2.978571,-1.700787,0.396345
8,-0.122681,-0.025689,0.785641,-1.604424,0.390970,0.518491
13,-0.143426,-0.022760,0.853733,-3.207596,-2.464202,0.350540
18,-0.160266,-0.002503,0.978202,-3.131254,-2.586349,0.365808
23,-0.085341,-0.043505,0.762455,-1.696034,-0.341908,0.594833
28,-0.151236,-0.001527,0.959410,-4.276376,-2.235178,0.350540
33,-0.125122,-0.026665,0.832012,-1.634961,1.352873,0.442150
38,-0.133908,-0.021784,0.867888,-3.299205,-2.143568,0.396345
43,-0.138057,-0.016170,0.886680,-2.596863,-2.036690,0.381077
48,-0.120241,-0.024712,0.861054,-2.459449,-1.578641,0.472686
53,-0.127075,-0.017879,0.868620,-2.780083,-0.754153,0.320003
58,-0.141718,-0.019343,0.881311,-3.054913,-0.051811,0.335272
63,-0.126342,-0.027885,0.860078,-2.505254,-0.357177,0.274199
68,-0.130735,-0.013730,0.875698,-2.902230,-1.945080,0.411613
73,-0.122193,-0.018367,0.856173,-2.627400,-1.593909,0.442150
78,-0.126586,-0.013242,0.891562,-2.963303,-1.425958,0.350540
83,-0.127075,-0.020075,0.865936,-2.657937,-0.265567,0.472686
88,-0.128295,-0.018611,0.880579,-2.780083,-0.784689,0.426881
93,-0.129271,-0.016659,0.865692,-2.764815,-1.273275,0.442150
98,-0.134152,-0.023736,0.866912,-2.917498,-1.578641,0.365808
103,-0.131223,-0.009337,0.866424,-3.115986,-1.731324,0.274199
109,-0.128783,-0.005188,0.873501,-2.642668,-0.738884,0.396345
114,-0.126098,-0.017635,0.869352,-2.352571,-0.708348,0.442150
120,-0.124146,-0.023248,0.824934,-3.009108,-2.113031,0.350540
125,-0.145623,-0.008361,0.926706,-2.764815,-1.456494,0.381077
131,-0.120241,-0.031302,0.830303,-2.108278,-0.265567,0.381077
136,-0.138545,-0.012510,0.883996,-3.192327,-1.609177,0.335272
141,-0.136105,-0.009581,0.890585,-2.581595,-1.166397,0.350540
147,-0.122926,-0.015194,0.860078,-2.444180,-1.059519,0.335272
152,-0.125122,-0.024468,0.850316,-2.657937,-1.380153,0.549028
158,-0.129271,-0.014462,0.876430,-2.810620,-1.120592,0.442150
163,-0.128539,-0.019587,0.881799,-2.474717,-0.815226,0.365808
169,-0.130735,-0.016170,0.870573,-2.627400,-1.028982,0.304735
174,-0.129759,-0.012021,0.882287,-2.841157,-1.410689,0.457418
180,-0.126830,-0.017635,0.873013,-2.612132,-1.028982,0.320003
185,-0.130491,-0.018855,0.860810,-2.810620,-0.937372,0.320003
191,-0.134396,-0.013486,0.872525,-2.856425,-1.028982,0.411613
196,-0.130491,-0.020319,0.886436,-2.764815,-1.059519,0.381077
202,-0.129271,-0.018367,0.865447,-2.642668,-1.013714,0.304735
207,-0.128051,-0.010557,0.866180,-3.024376,-1.349616,0.289467
212,-0.127563,-0.022028,0.891073,-2.795351,-0.983177,0.365808
218,-0.128295,-0.017147,0.862275,-2.489985,-0.632006,0.457418
223,-0.123658,-0.019831,0.865447,-2.581595,-0.799957,0.274199
229,-0.136593,-0.010801,0.870573,-2.825888,-1.471763,0.320003
234,-0.133420,-0.015682,0.889609,-2.657937,-1.303811,0.335272
240,-0.125122,-0.015682,0.872769,-2.474717,-0.906835,0.457418
245,-0.127319,-0.018123,0.854953,-2.734278,-1.319080,0.381077
251,-0.131956,-0.013974,0.894734,-2.871693,-1.532836,0.426881
256,-0.129271,-0.016659,0.880091,-2.413644,-0.922104,0.350540
262,-0.125366,-0.018367,0.874478,-2.749546,-1.151128,0.564296
267,-0.129759,-0.017635,0.880579,-2.627400,-0.998445,0.365808
273,-0.134396,-0.017147,0.867888,-2.612132,-0.983177,0.243662
278,-0.123902,-0.018611,0.865447,-2.489985,-1.441226,0.426881
284,-0.131712,-0.016659,0.874966,-2.612132,-1.166397,0.304735
289,-0.128783,-0.011289,0.875698,-2.856425,-1.181665,0.381077
294,-0.132444,-0.013730,0.876918,-2.505254,-0.861031,0.579565
300,-0.128783,-0.017635,0.873989,-2.688474,-1.135860,0.396345
305,-0.135128,-0.016903,0.876918,-2.688474,-1.013714,0.442150
311,-0.135617,-0.017391,0.870329,-2.719010,-1.227470,0.289467
316,-0.135617,-0.035451,0.875454,-2.322034,-0.509860,0.503223
322,-0.138789,-0.006408,0.873989,-3.268669,-2.952788,0.335272
327,-0.132200,-0.017391,0.847875,-2.245693,-1.044250,0.411613
333,-0.132932,0.001158,0.946230,-3.360279,-2.387861,0.258930
338,-0.110967,-0.013242,0.843238,-1.634961,0.436775,0.396345
343,-0.125366,-0.014462,0.879603,-3.390815,-1.807665,0.350540
349,-0.140498,-0.016414,0.859102,-2.581595,-0.616738,0.396345
354,-0.138545,-0.013242,0.891073,-3.054913,-1.487031,0.381077
360,-0.133420,-0.018367,0.843482,-2.520522,-0.601470,0.365808
365,-0.136105,-0.016414,0.906205,-2.871693,-1.090055,0.350540
371,-0.130003,-0.019587,0.887901,-2.673205,-1.410689,0.304735
376,-0.128783,-0.008849,0.872769,-2.581595,-1.288543,0.426881
382,-0.126586,-0.013974,0.862519,-2.795351,-1.303811,0.411613
387,-0.129515,-0.019343,0.860810,-2.825888,-1.593909,0.487955
393,-0.126586,-0.019831,0.883752,-2.703742,-1.044250,0.426881
398,-0.132200,-0.021784,0.880823,-2.810620,-0.708348,0.304735
404,-0.129515,-0.020563,0.861054,-2.581595,-0.601470,0.335272
409,-0.137813,-0.011777,0.881311,-2.963303,-1.364884,0.197857
415,-0.128295,-0.015682,0.854221,-2.703742,-1.166397,0.426881
420,-0.130003,-0.010313,0.883996,-2.719010,-0.922104,0.426881
425,-0.129271,-0.019343,0.879603,-2.795351,-1.395421,0.411613
431,-0.127563,-0.018367,0.861787,-2.581595,-0.708348,0.335272
436,-0.133664,-0.026665,0.867644,-2.764815,-1.059519,0.350540
442,-0.127319,-0.015438,0.869108,-2.673205,-1.395421,0.320003
447,-0.126586,-0.016170,0.875698,-2.520522,-1.120592,0.396345
453,-0.124878,-0.014218,0.868132,-2.825888,-1.487031,0.503223
458,-0.126098,-0.009581,0.882287,-2.825888,-1.135860,0.411613
464,-0.126586,-0.018367,0.858614,-2.551059,-0.967909,0.564296
469,-0.129515,-0.015682,0.873501,-2.886961,-1.303811,0.350540
475,-0.130735,-0.016659,0.879115,-2.764815,-1.090055,0.381077
480,-0.128783,-0.018855,0.869840,-2.551059,-0.861031,0.350540
486,-0.135372,-0.018855,0.878383,-2.871693,-1.395421,0.243662
491,-0.124390,-0.012510,0.882776,-2.688474,-0.815226,0.350540
497,-0.127319,-0.022760,0.869840,-2.566327,-1.212201,0.442150
502,-0.129271,-0.008361,0.869108,-2.642668,-1.242738,0.320003
507,-0.122926,-0.011289,0.887169,-2.810620,-1.212201,0.228394
513,-0.130247,-0.020075,0.875942,-2.596863,-1.013714,0.503223
518,-0.125366,-0.018367,0.861787,-2.932766,-1.273275,0.381077
524,-0.129027,-0.019587,0.862031,-2.719010,-1.181665,0.304735
529,-0.129271,-0.017635,0.863251,-2.673205,-1.074787,0.442150
535,-0.131712,-0.014218,0.892538,-2.917498,-1.074787,0.320003
540,-0.127319,-0.012998,0.873989,-2.764815,-0.830494,0.396345
546,-0.128783,-0.013242,0.877650,-2.749546,-1.105323,0.671174
551,-0.129027,-0.016414,0.880579,-2.749546,-1.456494,0.503223
557,-0.128051,-0.017147,0.855929,-2.398376,-0.922104,0.396345
562,-0.134884,-0.022516,0.890341,-2.780083,-1.303811,0.411613
568,-0.133420,-0.027153,0.859102,-2.657937,-1.288543,0.213125
573,-0.123414,-0.019099,0.862519,-2.886961,-1.181665,0.289467
578,-0.129759,-0.007140,0.903032,-2.871693,-1.090055,0.381077
584,-0.121949,-0.020075,0.848363,-2.703742,-0.815226,0.152052
589,-0.123902,-0.014462,0.866912,-2.948034,-0.647274,0.472686
595,-0.131468,-0.018855,0.891318,-2.795351,-0.799957,0.457418
600,-0.123658,-0.022028,0.875454,-2.810620,-0.754153,0.274199
606,-0.140498,-0.013974,0.906205,-2.856425,-1.227470,0.533760
611,-0.135617,-0.016414,0.868864,-2.566327,-1.227470,0.365808
617,-0.129271,-0.016170,0.852512,-2.719010,-1.700787,0.442150
622,-0.125366,-0.019099,0.832500,-2.566327,-1.196933,0.426881
628,-0.131468,-0.014218,0.890829,-2.703742,-1.670251,0.503223
